,Position,Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Points,Neustadtl score
0,1,Sloth,-,½,½,1,½,½,1,1,½,1,½,1,1,1,1,11,69.5
1,2,Zagorovsky,½,-,0,½,1,½,1,1,1,½,1,1,1,1,1,11,66.75
2,3,Kosenkov,½,1,-,½,½,½,½,½,1,1,½,1,1,1,1,10½,67.5
3,4,Khasin,0,½,½,-,½,1,½,0,1,1,½,1,½,1,½,8½,54.75
4,5,Kletsel,½,0,½,½,-,½,½,½,½,0,1,1,½,1,1,8,47.75
5,6,De Carbonnel,½,½,½,0,½,-,½,½,0,1,½,½,0,1,1,7,45.25
6,7,Arnlind,0,0,½,½,½,½,-,½,1,0,½,½,1,1,½,7,42.5
7,8,Dunhaupt,0,0,½,1,½,½,½,-,0,½,1,0,1,½,1,7,41.5
8,9,Maedler,½,0,0,0,½,1,0,1,-,1,½,½,½,½,1,7,41.5
9,10,Estrin,0,½,0,0,1,0,1,½,0,-,1,1,1,0,1,7,40.5
10,11,Walther,½,0,½,½,0,½,½,0,½,0,-,0,1,½,1,5½,33.25
11,12,Boey,0,0,0,0,0,½,½,1,½,0,1,-,½,½,1,5½,28.5
12,13,Abramov,0,0,0,½,½,1,0,0,½,0,0,½,-,½,1,4½,24.75
13,14,Siklos,0,0,0,0,0,0,0,½,½,1,½,½,½,-,1,4½,22.75
14,15,Nun,0,0,0,½,0,0,½,0,0,0,0,0,0,0,-,1,7.75
